编号,eGeMAPS v02 特征名称 (Feature Name),所属物理维度,作用与临床/情感计算意义
1,F0semitoneFrom27.5Hz_sma3nz_amean,频率 (基频),整段音频基频（音高）的算术平均值，反映说话人的基础音调高低。
2,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,频率 (基频),基频的标准差（归一化），反映音高的波动程度和语调起伏。
3,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,频率 (基频),基频的第20百分位数，代表说话人音高的下限或低音部分的表现。
4,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,频率 (基频),基频的中位数，比平均值更能稳定反映说话人的核心音高。
5,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,频率 (基频),基频的第80百分位数，代表说话人音高的上限或高音部分的表现。
6,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,频率 (基频),第80与第20百分位数的差值（音高范围），反映语调的跨度。
7,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,频率 (基频),音高上升段的平均斜率，常与兴奋、愤怒或疑问语气相关。
8,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,频率 (基频),音高上升斜率的标准差，反映语音语调上升时的变化剧烈程度。
9,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,频率 (基频),音高下降段的平均斜率，常与情绪低落、陈述句结尾相关。
10,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,频率 (基频),音高下降斜率的标准差，反映语音语调下降时的变化剧烈程度。
11,loudness_sma3_amean,振幅 (响度),整段音频响度的算术平均值，反映说话声音的整体宏亮程度。
12,loudness_sma3_stddevNorm,振幅 (响度),响度的归一化标准差，反映声音大小的变化幅度和动态范围。
13,loudness_sma3_percentile20.0,振幅 (响度),响度的第20百分位数，代表声音最轻（接近背景音或弱音）时的强度。
14,loudness_sma3_percentile50.0,振幅 (响度),响度的中位数，反映说话时的常规核心音量。
15,loudness_sma3_percentile80.0,振幅 (响度),响度的第80百分位数，代表说话时重音或大声说话时的强度。
16,loudness_sma3_pctlrange0-2,振幅 (响度),第80与第20百分位数响度的差值，反映说话强弱交替的动态。
17,loudness_sma3_meanRisingSlope,振幅 (响度),响度上升段的平均斜率，反映声音突发变大的速度（如爆发力）。
18,loudness_sma3_stddevRisingSlope,振幅 (响度),响度上升斜率的标准差，反映声音变大过程中的不稳定性。
19,loudness_sma3_meanFallingSlope,振幅 (响度),响度下降段的平均斜率，反映声音渐弱、消散的速度。
20,loudness_sma3_stddevFallingSlope,振幅 (响度),响度下降斜率的标准差，反映声音渐弱过程中的不稳定性。
21,spectralFlux_sma3_amean,频谱形状,频谱通量的平均值，反映连续帧之间频谱分布的变化剧烈程度（常指声音音色的多变性）。
22,spectralFlux_sma3_stddevNorm,频谱形状,频谱通量的归一化标准差，反映音色变化的起伏和动态。
23,mfcc1_sma3_amean,频谱平衡,MFCC 1 的平均值，捕捉声音的基础频谱包络，常用于表征音色。
24,mfcc1_sma3_stddevNorm,频谱平衡,MFCC 1 的归一化标准差，反映核心音色的波动情况。
25,mfcc2_sma3_amean,频谱平衡,MFCC 2 的平均值，辅助表征音色（常与元音的辅音过渡相关）。
26,mfcc2_sma3_stddevNorm,频谱平衡,MFCC 2 的归一化标准差。
27,mfcc3_sma3_amean,频谱平衡,MFCC 3 的平均值，提供更精细的音色特征。
28,mfcc3_sma3_stddevNorm,频谱平衡,MFCC 3 的归一化标准差。
29,mfcc4_sma3_amean,频谱平衡,MFCC 4 的平均值。
30,mfcc4_sma3_stddevNorm,频谱平衡,MFCC 4 的归一化标准差。
31,jitterLocal_sma3nz_amean,声音质量,局部抖晃度的平均值，反映声带振动的微小频率扰动（声带疲劳、沙哑时变高）。
32,jitterLocal_sma3nz_stddevNorm,声音质量,抖晃度的归一化标准差，反映频率微扰的波动性。
33,shimmerLocal_sma3nz_amean,声音质量,局部闪烁度的平均值，反映声带振动的微小振幅扰动（声音颤抖、病变时变高）。
34,shimmerLocal_sma3nz_stddevNorm,声音质量,闪烁度的归一化标准差。
35,HNRdBdB_sma3nz_amean,声音质量,谐噪比（dB）的平均值，反映声音中和谐成分与噪声的比例。值越高声音越清脆，值越低声音越沙哑。
36,HNRdBdB_sma3nz_stddevNorm,声音质量,谐噪比的标准差，反映嗓音清脆度的动态变化。
37,alphaRatioV_sma3nz_amean,频谱平衡 (有声段),有声段（元音等）阿尔法系数平均值，反映高频段与低频段的能量倾斜，常用于评估声音的明亮或沉闷度。
38,alphaRatioV_sma3nz_stddevNorm,频谱平衡 (有声段),有声段阿尔法系数的标准差。
39,hammarbergIndexV_sma3nz_amean,频谱平衡 (有声段),有声段哈马伯格指数平均值，衡量频谱的高频衰减，值高代表高频弱、声音柔和；值低代表高频强、声音刺耳。
40,hammarbergIndexV_sma3nz_stddevNorm,频谱平衡 (有声段),有声段哈马伯格指数的标准差。
41,slopeV0-500_sma3nz_amean,频谱平衡 (有声段),有声段 0-500 Hz 的频谱斜率平均值，反映低频基音区域的能量下降速度。
42,slopeV0-500_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 0-500 Hz 频谱斜率的标准差。
43,slopeV500-1500_sma3nz_amean,频谱平衡 (有声段),有声段 500-1500 Hz 的频谱斜率平均值，通常与第一共振峰和元音共振相关。
